5,8,16,32,36,39
1,3,13,28,30,33
3,4,8,12,31,36
7,9,19,23,24,35
2,12,15,20,26,39
2,32,38,39,40,42
21,22,25,27,36,38
5,8,22,26,33,42
4,18,35,36,38,42
5,9,13,21,22,33
1,22,33,38,41,42
3,5,13,21,30,45
3,13,21,22,32,33
14,16,19,22,27,29
2,15,19,21,28,41
13,15,20,31,43,45
7,19,20,33,41,43
12,23,31,35,37,44
2,12,16,38,40,43
7,10,11,14,39,45
1,20,26,42,43,44
1,15,18,32,34,41
3,7,16,31,33,39
23,31,33,35,36,37
10,19,20,26,27,45
15,21,23,29,44,45
2,18,30,33,35,40
2,3,25,28,35,37
9,19,23,27,28,36
15,16,26,27,35,36
1,16,17,20,22,34
2,19,24,34,38,43
3,13,17,34,36,44
2,6,14,27,38,39
8,20,23,24,37,44
2,7,22,37,38,44
3,16,17,24,39,44
8,12,16,23,28,31
5,29,31,41,42,43
2,4,13,17,27,39
24,28,36,37,38,41
11,21,30,33,39,44
12,19,28,40,41,45
2,10,12,22,24,30
2,8,27,31,33,41
8,9,11,13,28,40
1,14,19,34,39,40
8,20,27,36,37,40
7,11,13,17,23,38
3,10,13,15,26,45
18,23,28,29,44,45
11,13,32,33,38,41
10,20,28,32,38,44
3,10,16,21,26,34
3,7,11,23,27,32
2,15,33,40,42,45
1,10,27,30,42,43
5,18,24,31,36,42
1,2,24,26,29,39
2,4,11,17,23,43
6,9,15,25,31,33
10,11,32,36,38,44
17,19,28,29,37,40
7,11,20,36,41,43
1,20,24,28,29,30
19,23,39,42,44,45
5,9,25,34,37,45
3,10,18,21,28,31
1,6,14,25,31,41
1,9,12,13,14,30
13,29,33,36,39,43
1,6,9,19,24,45
10,16,25,27,33,37
1,2,13,20,28,41
6,8,25,30,41,42
1,3,10,18,25,42
3,35,36,38,43,44
9,18,23,36,38,41
7,9,17,24,28,32
1,5,6,11,35,36
4,5,12,24,34,38
7,8,9,18,34,42
8,10,19,23,29,39
1,2,21,27,29,39
19,24,28,30,38,39
3,25,26,39,41,43
8,10,11,22,42,44
2,12,21,22,38,40
14,24,25,29,38,45
4,26,29,37,38,40
7,8,12,29,38,40
2,27,32,34,35,41
16,18,20,25,26,34
2,4,14,19,25,26
4,10,15,20,28,33
7,10,17,23,25,33
1,9,10,12,13,38
7,17,23,33,34,35
1,7,16,20,23,35
9,10,11,13,21,30
1,11,25,28,38,42
2,9,21,35,38,44
9,15,24,28,36,40
11,12,13,20,22,28
4,11,12,26,35,38
8,19,23,32,42,44
5,6,10,16,19,38
2,8,13,28,32,45
13,16,21,27,36,45
4,8,12,13,25,37
4,19,24,26,29,36
9,12,22,31,36,44
22,25,29,34,41,45
1,10,16,24,32,44
16,19,20,25,33,39
4,9,27,28,41,45
13,17,22,27,34,43
2,6,9,22,27,41
2,19,21,31,37,44
10,16,26,28,41,44
5,12,22,30,36,43
3,10,14,18,26,32
4,6,13,17,32,36
4,17,18,27,30,39
3,9,31,33,36,38
4,30,31,32,40,45
3,4,6,34,37,45
7,8,12,24,31,35
4,14,30,31,33,43
1,5,24,27,31,37
10,28,30,32,37,39
8,9,11,21,30,41
7,17,27,32,36,45
2,4,12,30,35,36
2,9,19,26,32,44
3,7,9,10,27,43
2,7,8,33,41,42
6,10,15,23,33,35
7,20,32,34,37,39
6,12,21,28,33,41
1,11,19,21,35,39
10,11,14,20,30,43
8,12,20,22,34,36
7,14,17,19,32,43
4,6,10,11,35,45
6,10,14,15,24,26
10,12,25,29,31,32
8,13,21,26,42,45
3,4,5,6,34,42
3,22,28,36,39,41
21,32,36,39,40,44
8,17,28,31,32,34
11,17,25,42,43,45
6,11,24,30,43,44
8,12,16,29,39,40
6,8,9,25,41,45
15,18,19,21,26,30
1,3,8,17,19,40
11,12,14,16,43,45
1,5,14,16,24,37
9,10,11,33,38,42
6,11,19,21,26,34
16,18,19,21,38,39
2,14,20,21,32,41
1,7,8,10,26,31
5,10,24,28,39,40
4,12,17,18,20,39
3,7,14,21,28,29
4,9,15,18,33,45
11,12,14,21,40,41
11,17,33,39,42,43
4,11,25,26,41,45
11,17,28,32,42,45
7,11,25,29,31,40
4,7,15,26,31,38
12,20,28,33,34,36
3,4,6,13,31,41
1,6,8,14,16,20
18,20,30,36,43,45
1,12,18,26,27,38
14,25,38,39,40,43
3,4,29,41,43,45
6,8,13,19,22,32
2,4,13,20,38,39
8,11,21,25,41,44
14,26,30,32,42,44
5,7,15,24,25,45
3,11,21,36,39,40
5,8,10,20,37,41
3,4,7,13,14,16
5,22,26,28,32,43
3,16,33,35,41,45
8,17,22,26,27,35
8,21,22,25,32,35
1,9,13,28,36,45
1,4,19,21,27,41
8,12,16,25,44,45
13,25,31,34,42,45
17,21,24,38,40,42
3,18,20,27,40,41
2,16,22,26,40,45
8,20,21,31,34,35
6,8,10,17,23,38
4,5,12,14,15,30
7,14,17,19,20,37
10,17,21,22,32,33
1,14,23,35,40,41
5,12,19,23,25,30
10,26,29,31,32,34
4,13,22,30,34,37
6,21,22,29,39,44
5,11,12,15,16,17
3,12,25,30,40,42
6,11,19,36,44,45
1,4,17,23,24,29
2,23,24,28,32,40
2,17,19,25,26,27
3,16,18,19,25,31
3,6,14,38,43,44
18,20,24,36,38,42
13,16,17,26,31,38
12,13,14,19,23,39
6,13,20,32,39,41
8,27,41,43,44,45
7,10,20,25,31,35
7,9,10,18,27,29
9,18,20,23,35,37
3,4,19,20,35,41
2,16,25,27,33,41
9,12,13,19,30,34
12,13,18,21,23,26
17,21,23,36,40,42
1,6,10,19,28,33
3,4,17,21,27,42
3,6,18,40,42,43
14,15,30,38,40,44
14,18,28,37,39,41
8,9,13,18,39,41
12,19,33,34,37,45
8,21,22,23,38,43
2,9,10,23,29,38
2,7,8,28,35,42
8,13,17,20,29,45
10,12,15,31,32,33
3,7,9,13,22,37
20,35,36,37,39,42
11,18,20,22,36,40
2,5,8,23,29,41
1,7,22,25,33,41
7,18,31,35,36,44
12,14,25,27,38,40
13,23,30,31,32,35
4,12,17,20,30,45
6,12,20,23,31,45
13,16,18,30,33,37
1,3,30,31,32,37
8,11,16,17,18,19
7,24,29,34,35,43
1,3,11,28,30,35
11,12,16,20,23,40
8,23,25,27,42,43
5,8,15,20,23,30
5,7,31,39,41,45
5,8,11,22,28,31
4,10,12,15,22,31
5,18,20,24,27,38
12,14,18,24,28,32
7,10,24,25,31,42
2,12,21,28,30,41
20,21,22,26,35,36
2,7,9,12,22,25
6,12,18,22,26,30
8,16,17,23,30,31
4,14,16,22,31,33
7,12,13,24,25,39
24,26,29,32,33,35
10,19,23,36,42,45
8,13,18,26,27,45
2,12,22,29,33,43
1,21,30,40,42,44
8,13,18,30,32,37
2,4,9,14,31,34
7,10,13,15,16,41
5,25,27,43,44,45
26,27,31,33,35,39
7,9,20,21,37,40
7,8,18,26,34,43
3,21,23,26,30,35
13,16,24,26,28,33
6,9,16,23,28,32
2,9,10,31,34,41
1,8,15,20,38,41
17,20,21,31,35,36
4,16,23,24,31,39
1,17,30,32,40,42
5,7,15,28,33,41
1,8,11,31,37,44
6,8,9,27,28,34
8,13,24,34,36,41
7,12,18,26,35,43
10,26,27,30,38,45
9,14,22,24,33,41
2,18,20,21,33,39
4,11,19,20,33,40
7,24,28,31,32,42
6,13,24,29,42,43
3,11,30,31,44,45
6,12,14,18,34,38
6,8,14,18,29,33
2,4,14,23,26,32
6,13,16,18,29,31
5,21,31,32,40,44
10,14,16,18,20,26
6,24,28,34,38,44
1,2,16,25,38,44
9,11,31,36,39,44
5,7,10,15,18,32
8,22,26,28,30,33
6,9,11,19,23,41
5,9,11,25,32,43
14,22,26,28,31,40
1,2,6,20,30,45
1,3,22,25,41,45
7,22,32,35,36,43
7,10,14,20,37,45
13,14,19,30,39,44
2,5,9,12,23,39
13,15,22,28,30,43
30,36,39,40,44,45
7,13,14,22,31,36
1,7,11,17,19,36
4,12,17,20,30,37
1,6,7,13,21,43
8,12,14,22,31,38
7,9,17,25,30,42
1,4,5,9,29,35
3,14,16,25,35,45
4,9,13,19,23,24
5,9,29,31,36,42
9,19,23,30,36,44
6,14,32,41,44,45
8,20,22,28,32,45
1,8,27,33,35,45
1,11,17,20,31,36
9,16,19,21,22,33
14,18,21,23,25,43
7,9,33,40,42,44
7,26,34,40,43,45
15,19,22,24,26,31
12,13,15,28,30,36
2,21,35,37,41,42
1,2,10,37,39,45
6,12,14,16,33,39
3,8,12,18,26,31
7,8,12,17,26,45
13,19,21,34,42,45
1,12,23,26,41,44
9,16,21,31,40,43
2,9,24,32,38,40
21,26,29,35,36,43
2,9,11,14,35,45
6,12,17,27,28,30
3,10,18,21,23,29
9,11,20,29,37,41
12,18,23,25,30,42
7,12,14,26,27,36
5,16,23,31,34,43
3,13,18,21,37,41
8,11,12,26,34,41
4,5,7,19,32,45
8,15,20,26,32,33
5,11,14,20,24,39
9,13,16,26,40,42
7,16,22,26,30,44
10,26,32,33,40,42
1,6,15,39,40,41
2,3,14,18,37,43
2,4,5,7,28,41
19,24,27,31,33,41
5,12,17,39,43,44
3,10,21,23,28,32
12,13,19,24,31,34
1,11,17,18,33,39
17,24,29,40,42,43
4,5,13,24,37,39
1,2,13,26,39,45
1,5,10,11,20,36
2,8,10,14,17,23
5,20,36,38,39,43
8,10,17,39,42,43
1,10,15,39,44,45
2,3,14,22,30,43
8,16,18,29,38,42
16,19,20,24,37,43
12,15,23,32,38,41
4,13,25,26,40,42
8,15,16,24,37,43
15,18,25,31,34,40
26,28,31,33,40,45
15,19,24,27,41,45
5,11,15,30,40,43
2,32,38,39,41,43
4,20,23,28,42,44
2,16,19,21,36,43
22,24,29,30,33,40
7,8,10,20,34,41
1,3,22,30,43,45
12,17,20,36,41,45
20,23,25,29,39,40
5,8,9,17,25,34
12,25,27,33,36,40
1,2,3,6,16,41
1,4,7,32,35,39
4,15,23,31,36,45
2,4,12,18,34,43
1,4,6,21,27,43
17,26,30,39,40,45
11,13,29,38,41,43
9,11,15,18,25,36
27,28,29,38,39,44
1,17,32,37,39,43
20,22,36,37,39,44
18,25,31,35,44,45
3,19,21,32,34,37
2,6,23,39,41,42
21,25,27,31,32,41
1,2,17,29,32,38
6,7,20,22,39,41
12,13,14,18,29,35
3,11,15,25,29,33
10,20,22,23,24,38
2,5,16,17,26,41
3,22,23,26,40,42
